gnome	adwaita-icon-theme	https://deb.debian.org/debian/pool/main/a/adwaita-icon-theme/adwaita-icon-theme_48.1-1_all.deb	504356
gnome	adwaita-qt	https://deb.debian.org/debian/pool/main/a/adwaita-qt/adwaita-qt_1.4.2-3+b4_arm64.deb	85544
gnome	adwaita-qt6	https://deb.debian.org/debian/pool/main/a/adwaita-qt/adwaita-qt6_1.4.2-3+b4_arm64.deb	87560
gnome	alarm-clock-applet	https://deb.debian.org/debian/pool/main/a/alarm-clock-applet/alarm-clock-applet_0.4.1-5+b2_arm64.deb	128828
gnome	almanah	https://deb.debian.org/debian/pool/main/a/almanah/almanah_0.12.4-1_arm64.deb	217712
gnome	apostrophe	https://deb.debian.org/debian/pool/main/a/apostrophe/apostrophe_3.2-3_all.deb	250288
gnu-r	r-cran-abind	https://deb.debian.org/debian/pool/main/a/abind/r-cran-abind_1.4-8-1_all.deb	68120
gnu-r	r-cran-acepack	https://deb.debian.org/debian/pool/main/a/acepack/r-cran-acepack_1.6.1-1_arm64.deb	82412
gnu-r	r-cran-boot	https://deb.debian.org/debian/pool/main/b/boot/r-cran-boot_1.3-31-1_all.deb	639300
gnu-r	r-cran-chron	https://deb.debian.org/debian/pool/main/c/chron/r-cran-chron_2.3-62-1_arm64.deb	196344
gnu-r	r-cran-cluster	https://deb.debian.org/debian/pool/main/c/cluster/r-cran-cluster_2.1.8.1-1_arm64.deb	580244
gnu-r	r-cran-codetools	https://deb.debian.org/debian/pool/main/c/codetools/r-cran-codetools_0.2-20-1_all.deb	91124
golang	golang-filippo-age-dev	https://deb.debian.org/debian/pool/main/a/age/golang-filippo-age-dev_1.2.1-1_all.deb	53092
golang	golang-github-awslabs-amazon-ecr-credential-helper-dev	https://deb.debian.org/debian/pool/main/a/amazon-ecr-credential-helper/golang-github-awslabs-amazon-ecr-credential-helper-dev_0.7.1-2.1_all.deb	15344
golang	golang-redhat-audit-dev	https://deb.debian.org/debian/pool/main/a/audit/golang-redhat-audit-dev_4.0.2-2+deb13u1_all.deb	12812
golang	golang-github-dgraph-io-badger-dev	https://deb.debian.org/debian/pool/main/b/badger/golang-github-dgraph-io-badger-dev_2.2007.2-4_all.deb	181160
golang	balloon	https://deb.debian.org/debian/pool/main/b/balloon/balloon_1.1.1-2+b16_arm64.deb	564600
golang	c2go	https://deb.debian.org/debian/pool/main/c/c2go/c2go_0.26.11-1+b7_arm64.deb	1373812
graphics	3d-ascii-viewer	https://deb.debian.org/debian/pool/main/3/3d-ascii-viewer-c/3d-ascii-viewer_1.4.0+git20240503+ds-2_arm64.deb	18872
graphics	aa3d	https://deb.debian.org/debian/pool/main/a/aa3d/aa3d_1.0-8.3_arm64.deb	8352
graphics	aaphoto	https://deb.debian.org/debian/pool/main/a/aaphoto/aaphoto_0.45-1+b3_arm64.deb	40808
graphics	abr2gbr	https://deb.debian.org/debian/pool/main/a/abr2gbr/abr2gbr_1.0.2-7_arm64.deb	7404
graphics	ale	https://deb.debian.org/debian/pool/main/a/ale/ale_0.9.0.3-6+b1_arm64.deb	293336
graphics	amide	https://deb.debian.org/debian/pool/main/a/amide/amide_1.0.6-5+b5_arm64.deb	569956
hamradio	a2d	https://deb.debian.org/debian/pool/main/a/a2d/a2d_2.0.5-2_all.deb	175540
hamradio	aldo	https://deb.debian.org/debian/pool/main/a/aldo/aldo_0.7.8-2+b1_arm64.deb	55840
hamradio	ampr-ripd	https://deb.debian.org/debian/pool/main/a/ampr-ripd/ampr-ripd_2.4.1-1+b4_arm64.deb	20260
hamradio	aprsdigi	https://deb.debian.org/debian/pool/main/a/aprsdigi/aprsdigi_3.11.0-1+b1_arm64.deb	58500
hamradio	aprx	https://deb.debian.org/debian/pool/main/a/aprx/aprx_2.9.1-3_arm64.deb	965836
hamradio	ax25-apps	https://deb.debian.org/debian/pool/main/a/ax25-apps/ax25-apps_0.0.8-rc5+git20230513+afc4a5f-3_arm64.deb	106372
haskell	c2hs	https://deb.debian.org/debian/pool/main/c/c2hs/c2hs_0.28.8-1_arm64.deb	997044
haskell	libghc-cpphs-dev	https://deb.debian.org/debian/pool/main/c/cpphs/libghc-cpphs-dev_1.20.9.1-4+b1_arm64.deb	187460
haskell	libghc-cpphs-prof	https://deb.debian.org/debian/pool/main/c/cpphs/libghc-cpphs-prof_1.20.9.1-4+b1_arm64.deb	207632
haskell	libghc-gtk2hs-buildtools-dev	https://deb.debian.org/debian/pool/main/g/gtk2hs-buildtools/libghc-gtk2hs-buildtools-dev_0.13.11.0-1+b1_arm64.deb	1348848
